"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9975","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 19:41:19 GMT 2025","passed","Tue Oct 07 19:41:29 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","4731","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:57:09 GMT 2025","passed","Tue Oct 07 19:57:14 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","6774","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 20:01:54 GMT 2025","passed","Tue Oct 07 20:02:01 GMT 2025","TestUserLocation","test_user_location","",""
"","46659","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Tue Oct 07 19:32:00 GMT 2025","passed","Tue Oct 07 19:32:46 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","3716","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:58:45 GMT 2025","passed","Tue Oct 07 19:58:49 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","4951","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:55:26 GMT 2025","passed","Tue Oct 07 19:55:31 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","18193","Пользователь видит цены на смартфоны марки Honor","tests.tests_catalog","Tue Oct 07 19:47:23 GMT 2025","passed","Tue Oct 07 19:47:41 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","6412","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 20:00:08 GMT 2025","passed","Tue Oct 07 20:00:15 GMT 2025","TestUserLocation","test_user_location","",""
"","10239","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 19:41:49 GMT 2025","passed","Tue Oct 07 19:41:59 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","9851","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 19:39:19 GMT 2025","passed","Tue Oct 07 19:39:29 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","15638","Пользователь видит цены на смартфоны марки Nubia","tests.tests_catalog","Tue Oct 07 19:51:15 GMT 2025","passed","Tue Oct 07 19:51:31 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","3242","Проверяем что пользователь может авторизоваться по номеру телефона","tests.tests_authorization","Tue Oct 07 19:28:44 GMT 2025","passed","Tue Oct 07 19:28:47 GMT 2025","TestUserCanAuthWithPhoneNumber","test_user_auth_with_phone_number","",""
"","34242","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Tue Oct 07 19:29:28 GMT 2025","passed","Tue Oct 07 19:30:02 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","7954","Пользователь при первом посещении (session) может принять соглашение об обработке кук","tests.tests_home_page","Tue Oct 07 19:53:07 GMT 2025","passed","Tue Oct 07 19:53:15 GMT 2025","TestCookiesMayBeAccepted","test_cookies_notice_may_be_accepted","",""
"","4897","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:53:38 GMT 2025","passed","Tue Oct 07 19:53:43 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","10458","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 20:01:05 GMT 2025","passed","Tue Oct 07 20:01:16 GMT 2025","TestUserLocation","test_user_location","",""
"","11004","Пользователь видит цены на смартфоны марки Asus","tests.tests_catalog","Tue Oct 07 19:50:31 GMT 2025","passed","Tue Oct 07 19:50:42 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","0","test_add_smartphone_of_brand_apple_iphone_to_user_cart[Apple iPhone 16 Pro Max 256 GB black titanium]","tests.tests_catalog","Tue Oct 07 19:30:03 GMT 2025","failed","Tue Oct 07 19:30:03 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","15959","Пользователь видит цены на смартфоны марки Samsung","tests.tests_catalog","Tue Oct 07 19:44:50 GMT 2025","passed","Tue Oct 07 19:45:06 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","9042","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:57:51 GMT 2025","passed","Tue Oct 07 19:58:00 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","23478","Наведение курсора на разделы каталога и навигация по нему","tests.tests_catalog","Tue Oct 07 19:43:04 GMT 2025","passed","Tue Oct 07 19:43:27 GMT 2025","TestCatalogMenuOnHomePage","test_catalog_menu_on_home_page","",""
"","10113","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 19:38:15 GMT 2025","passed","Tue Oct 07 19:38:26 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","4113","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 19:56:29 GMT 2025","passed","Tue Oct 07 19:56:33 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","42335","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 19:35:05 GMT 2025","passed","Tue Oct 07 19:35:47 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
