"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11847","Пользователь видит цены на смартфоны марки Huawei","tests.tests_catalog","Wed Oct 15 13:12:01 GMT 2025","passed","Wed Oct 15 13:12:12 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","6013","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 15 13:16:34 GMT 2025","passed","Wed Oct 15 13:16:40 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","7780","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Wed Oct 15 13:20:47 GMT 2025","failed","Wed Oct 15 13:20:55 GMT 2025","TestUserLocation","test_user_location","",""
"","19809","Наведение курсора на разделы каталога и навигация по нему","tests.tests_catalog","Wed Oct 15 13:03:46 GMT 2025","passed","Wed Oct 15 13:04:06 GMT 2025","TestCatalogMenuOnHomePage","test_catalog_menu_on_home_page","",""
"","7212","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Wed Oct 15 13:19:47 GMT 2025","passed","Wed Oct 15 13:19:55 GMT 2025","TestUserLocation","test_user_location","",""
"","10621","При определении геолокации пользователя появляется
         модальное окно с возможностью согласиться или выбрать другую локацию","tests.tests_home_page","Wed Oct 15 13:18:48 GMT 2025","passed","Wed Oct 15 13:18:59 GMT 2025","TestUserLocation","test_user_location","",""
"","39585","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Wed Oct 15 12:55:11 GMT 2025","passed","Wed Oct 15 12:55:51 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","0","test_check_all_card_prices_brand_nothing","tests.tests_catalog","Wed Oct 15 13:09:28 GMT 2025","failed","Wed Oct 15 13:09:28 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","11019","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 15 13:02:00 GMT 2025","passed","Wed Oct 15 13:02:11 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","4459","Проверяем что пользователь может авторизоваться по номеру телефона","tests.tests_authorization","Wed Oct 15 12:50:38 GMT 2025","passed","Wed Oct 15 12:50:43 GMT 2025","TestUserCanAuthWithPhoneNumber","test_user_auth_with_phone_number","",""
