"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9784","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:08:49 GMT 2025","passed","Thu Oct 16 20:08:59 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","9521","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:06:05 GMT 2025","passed","Thu Oct 16 20:06:15 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","5999","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 20:22:08 GMT 2025","passed","Thu Oct 16 20:22:14 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","9245","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:06:59 GMT 2025","passed","Thu Oct 16 20:07:08 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","6760","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Thu Oct 16 20:25:07 GMT 2025","passed","Thu Oct 16 20:25:13 GMT 2025","TestUserLocation","test_user_location","",""
"","8652","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Thu Oct 16 20:25:31 GMT 2025","failed","Thu Oct 16 20:25:40 GMT 2025","TestUserLocation","test_user_location","",""
"","9539","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:05:38 GMT 2025","passed","Thu Oct 16 20:05:47 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","10582","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 20:23:06 GMT 2025","passed","Thu Oct 16 20:23:16 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","19109","Пользователь видит цены на смартфоны марки Apple iPhone","tests.tests_catalog","Thu Oct 16 20:10:09 GMT 2025","passed","Thu Oct 16 20:10:28 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","47374","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Thu Oct 16 19:57:41 GMT 2025","passed","Thu Oct 16 19:58:28 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","12378","Пользователь видит цены на смартфоны марки Asus","tests.tests_catalog","Thu Oct 16 20:16:27 GMT 2025","passed","Thu Oct 16 20:16:39 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","19915","Пользователь видит цены на смартфоны марки Nothing","tests.tests_catalog","Thu Oct 16 20:15:34 GMT 2025","passed","Thu Oct 16 20:15:54 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","10681","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:04:20 GMT 2025","passed","Thu Oct 16 20:04:31 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","10402","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:05:05 GMT 2025","passed","Thu Oct 16 20:05:15 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","4654","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 20:21:41 GMT 2025","passed","Thu Oct 16 20:21:46 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","0","test_user_can_go_to_the_category_from_home_page[Tablets]","tests.tests_home_page","Thu Oct 16 20:19:49 GMT 2025","failed","Thu Oct 16 20:19:49 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
