"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9652","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:46:04 GMT 2025","passed","Thu Oct 16 20:46:14 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","18103","Пользователь видит цены на смартфоны марки Google","tests.tests_catalog","Thu Oct 16 20:53:57 GMT 2025","passed","Thu Oct 16 20:54:15 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","9216","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:45:37 GMT 2025","passed","Thu Oct 16 20:45:46 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","14654","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Thu Oct 16 21:06:52 GMT 2025","failed","Thu Oct 16 21:07:07 GMT 2025","TestUserLocation","test_user_location","",""
"","9044","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 21:00:32 GMT 2025","passed","Thu Oct 16 21:00:41 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","42058","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Thu Oct 16 20:42:08 GMT 2025","passed","Thu Oct 16 20:42:50 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","8745","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Thu Oct 16 21:07:25 GMT 2025","failed","Thu Oct 16 21:07:33 GMT 2025","TestUserLocation","test_user_location","",""
"","9447","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:46:31 GMT 2025","passed","Thu Oct 16 20:46:40 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","6385","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Thu Oct 16 21:06:27 GMT 2025","passed","Thu Oct 16 21:06:34 GMT 2025","TestUserLocation","test_user_location","",""
"","6377","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 21:03:41 GMT 2025","passed","Thu Oct 16 21:03:47 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","0","test_user_can_change_new_location_from_present_list[Krasnodar]","tests.tests_home_page","Thu Oct 16 21:05:56 GMT 2025","failed","Thu Oct 16 21:05:56 GMT 2025","TestUserLocation","test_user_location","",""
"","11477","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 21:04:37 GMT 2025","passed","Thu Oct 16 21:04:49 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","41122","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Thu Oct 16 20:41:09 GMT 2025","passed","Thu Oct 16 20:41:50 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","10272","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:46:59 GMT 2025","passed","Thu Oct 16 20:47:09 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","41705","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Thu Oct 16 20:44:11 GMT 2025","passed","Thu Oct 16 20:44:52 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","3946","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 21:05:25 GMT 2025","passed","Thu Oct 16 21:05:29 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","10234","Пользователь видит цены на смартфоны марки Huawei","tests.tests_catalog","Thu Oct 16 20:58:46 GMT 2025","passed","Thu Oct 16 20:58:56 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","9816","Пользователь видит все бренды смартфонов","tests.tests_catalog","Thu Oct 16 20:47:27 GMT 2025","passed","Thu Oct 16 20:47:36 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","3899","Пользователь видит цены на смартфоны марки Motorola","tests.tests_catalog","Thu Oct 16 20:59:26 GMT 2025","passed","Thu Oct 16 20:59:30 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","5216","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Thu Oct 16 21:01:17 GMT 2025","passed","Thu Oct 16 21:01:23 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
