"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6439","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 15 14:09:26 GMT 2025","passed","Wed Oct 15 14:09:32 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","9201","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 15 14:05:18 GMT 2025","passed","Wed Oct 15 14:05:27 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","10814","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Wed Oct 15 14:12:44 GMT 2025","passed","Wed Oct 15 14:12:55 GMT 2025","TestUserLocation","test_user_location","",""
"","10844","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 15 13:45:32 GMT 2025","passed","Wed Oct 15 13:45:43 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","11902","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 15 13:43:32 GMT 2025","passed","Wed Oct 15 13:43:44 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","11882","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 15 13:46:12 GMT 2025","passed","Wed Oct 15 13:46:23 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","0","test_add_smartphone_of_brand_apple_iphone_to_user_cart[Apple iPhone 17 256 GB green]","tests.tests_catalog","Wed Oct 15 13:40:17 GMT 2025","broken","Wed Oct 15 13:40:17 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","11732","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 15 13:44:08 GMT 2025","passed","Wed Oct 15 13:44:20 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","22827","Пользователь видит цены на смартфоны марки Honor","tests.tests_catalog","Wed Oct 15 13:55:23 GMT 2025","passed","Wed Oct 15 13:55:46 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","6625","Проверяем что пользователь может авторизоваться по номеру телефона","tests.tests_authorization","Wed Oct 15 13:29:31 GMT 2025","passed","Wed Oct 15 13:29:37 GMT 2025","TestUserCanAuthWithPhoneNumber","test_user_auth_with_phone_number","",""
"","10224","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 15 14:10:07 GMT 2025","passed","Wed Oct 15 14:10:17 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","14904","Пользователь при первом посещении (session) может принять соглашение об обработке кук","tests.tests_home_page","Wed Oct 15 14:02:42 GMT 2025","passed","Wed Oct 15 14:02:57 GMT 2025","TestCookiesMayBeAccepted","test_cookies_notice_may_be_accepted","",""
"","23524","Пользователь видит цены на смартфоны марки Google","tests.tests_catalog","Wed Oct 15 13:54:21 GMT 2025","passed","Wed Oct 15 13:54:44 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","23613","Пользователь видит цены на смартфоны марки OnePlus","tests.tests_catalog","Wed Oct 15 13:56:28 GMT 2025","passed","Wed Oct 15 13:56:52 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","7242","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 15 14:03:48 GMT 2025","passed","Wed Oct 15 14:03:55 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
