"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40876","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Wed Oct 08 09:58:38 GMT 2025","passed","Wed Oct 08 09:59:19 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","24646","Наведение курсора на разделы каталога и навигация по нему","tests.tests_catalog","Wed Oct 08 10:07:24 GMT 2025","passed","Wed Oct 08 10:07:49 GMT 2025","TestCatalogMenuOnHomePage","test_catalog_menu_on_home_page","",""
"","5013","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 08 10:17:39 GMT 2025","passed","Wed Oct 08 10:17:44 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","16928","Пользователь видит цены на смартфоны марки Nubia","tests.tests_catalog","Wed Oct 08 10:14:35 GMT 2025","passed","Wed Oct 08 10:14:52 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","3589","Проверяем что пользователь может авторизоваться по номеру телефона","tests.tests_authorization","Wed Oct 08 09:55:06 GMT 2025","passed","Wed Oct 08 09:55:10 GMT 2025","TestUserCanAuthWithPhoneNumber","test_user_auth_with_phone_number","",""
"","8756","Проверяем что корзина пуста","tests.tests_cart_page","Wed Oct 08 09:55:28 GMT 2025","passed","Wed Oct 08 09:55:37 GMT 2025","TestCartIsEmpty","test_cart_is_empty","",""
"","5785","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 08 10:18:27 GMT 2025","passed","Wed Oct 08 10:18:33 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","5067","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 08 10:16:51 GMT 2025","passed","Wed Oct 08 10:16:56 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","6636","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Wed Oct 08 10:21:42 GMT 2025","passed","Wed Oct 08 10:21:48 GMT 2025","TestUserLocation","test_user_location","",""
"","4438","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 08 10:18:03 GMT 2025","passed","Wed Oct 08 10:18:08 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","4289","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Wed Oct 08 10:17:16 GMT 2025","passed","Wed Oct 08 10:17:20 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","17381","Пользователь видит цены на смартфоны марки Google","tests.tests_catalog","Wed Oct 08 10:10:45 GMT 2025","passed","Wed Oct 08 10:11:02 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","40393","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Wed Oct 08 09:59:36 GMT 2025","passed","Wed Oct 08 10:00:17 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","7887","Пользователь при первом посещении (session) может принять соглашение об обработке кук","tests.tests_home_page","Wed Oct 08 10:16:24 GMT 2025","passed","Wed Oct 08 10:16:32 GMT 2025","TestCookiesMayBeAccepted","test_cookies_notice_may_be_accepted","",""
"","12605","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:01:55 GMT 2025","passed","Wed Oct 08 10:02:08 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","6363","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Wed Oct 08 10:22:39 GMT 2025","passed","Wed Oct 08 10:22:46 GMT 2025","TestUserLocation","test_user_location","",""
"","38705","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Wed Oct 08 09:56:49 GMT 2025","passed","Wed Oct 08 09:57:28 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","10713","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:03:45 GMT 2025","passed","Wed Oct 08 10:03:56 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","17281","Пользователь видит цены на смартфоны марки Nothing","tests.tests_catalog","Wed Oct 08 10:13:06 GMT 2025","passed","Wed Oct 08 10:13:23 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","7577","Пользователь видит цены на смартфоны марки Motorola","tests.tests_catalog","Wed Oct 08 10:16:07 GMT 2025","passed","Wed Oct 08 10:16:14 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","13190","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:02:34 GMT 2025","passed","Wed Oct 08 10:02:48 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","10598","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:05:08 GMT 2025","passed","Wed Oct 08 10:05:19 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","10417","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:04:40 GMT 2025","passed","Wed Oct 08 10:04:50 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","18431","Пользователь видит цены на смартфоны марки Samsung","tests.tests_catalog","Wed Oct 08 10:09:08 GMT 2025","passed","Wed Oct 08 10:09:26 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","14452","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:00:40 GMT 2025","passed","Wed Oct 08 10:00:55 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","11691","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:03:16 GMT 2025","passed","Wed Oct 08 10:03:27 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","17219","Пользователь видит цены на смартфоны марки Honor","tests.tests_catalog","Wed Oct 08 10:11:32 GMT 2025","passed","Wed Oct 08 10:11:49 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","10441","Пользователь видит все бренды смартфонов","tests.tests_catalog","Wed Oct 08 10:06:30 GMT 2025","passed","Wed Oct 08 10:06:40 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
